"","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","year"
"315",1e+05,"Conquering Unicorn","USA","Robert Townsend","Comedy",5228617,"Hollywood Shuffle","R","1987-03-20",78,7,"Robert Townsend",3009,"Robert Townsend",1987
"6387",1.55e+08,"Paramount Pictures","USA","Alan Taylor","Action",89760956,"Terminator Genisys","PG-13","2015-07-01",126,6.5,"Arnold Schwarzenegger",212532,"Laeta Kalogridis",2015
"1903",5e+07,"Hollywood Pictures","USA","Deran Sarafian","Action",16478900,"Terminal Velocity","PG-13","1994-09-23",102,5.4,"Charlie Sheen",11352,"David Twohy",1994
"5440",3e+06,"Paramount Pictures","USA","Tod Williams","Horror",84752907,"Paranormal Activity 2","R","2010-10-22",91,5.7,"Katie Featherston",87197,"Michael R. Perry",2010
"2335",3e+07,"United Artists Pictures","USA","Howard Franklin","Comedy",8289972,"Larger Than Life","PG","1996-11-01",93,5.6,"Bill Murray",5757,"Roy Blount Jr.",1996
"5811",1.1e+07,"Double Feature Films","USA","Lisa Azuelos","Comedy",46500,"LOL","PG-13","2012-09-14",97,4.3,"Miley Cyrus",47937,"Lisa Azuelos",2012
"3685",2.5e+07,"Paramount Pictures","USA","Stephen Gaghan","Drama",10727683,"Abandon","PG-13","2002-10-18",99,4.9,"Katie Holmes",8168,"Stephen Gaghan",2002
"5980",2.5e+07,"Fox 2000 Pictures","UK","Ridley Scott","Crime",16973715,"The Counsellor","R","2013-10-25",117,5.3,"Michael Fassbender",86494,"Cormac McCarthy",2013
"2184",0,"Paramount Pictures","Germany","Harold Ramis","Comedy",911310,"Stuart Saves His Family","PG-13","1995-04-12",100,5.3,"Al Franken",2375,"Al Franken",1995
"159",0,"Scary Stuff","USA","Jeffrey Delman","Comedy",2750741,"Deadtime Stories","R","1986-11-28",93,4.6,"Scott Valentine",973,"Jeffrey Delman",1986
"1673",0,"Laughing Kookaburra Productions","Australia","John Duigan","Drama",1610792,"Wide Sargasso Sea","NC-17","1993-04-16",98,5.8,"Karina Lombard",1662,"Jan Sharp",1993
"4973",2.7e+07,"Number 9 Films","UK","Robert B. Weide","Biography",2778752,"How to Lose Friends & Alienate People","R","2008-10-03",110,6.5,"Simon Pegg",63297,"Peter Straughan",2008
"935",0,"Reteitalia","Italy","Abel Ferrara","Crime",2554476,"El verdugo de Nueva York","R","1990-09-28",103,7,"Christopher Walken",25511,"Nicholas St. John",1990
"5642",0,"Bureau, The","UK","Andrew Haigh","Drama",455459,"Weekend","NOT RATED","2011-11-04",97,7.7,"Tom Cullen",22381,"Andrew Haigh",2011
"2489",2e+07,"Paramount Pictures","USA","Betty Thomas","Biography",41198146,"Private Parts","R","1997-03-07",109,6.8,"Howard Stern",30718,"Howard Stern",1997
"2752",3e+06,"Big Dog Films","Jamaica","Hype Williams","Crime",9630169,"Belly","R","1998-11-04",96,6,"Nas",7666,"Anthony Bodden",1998
"1987",5.5e+07,"Walt Disney Pictures","USA","Mike Gabriel","Animation",141600000,"Pocahontas","G","1995-06-23",81,6.7,"Mel Gibson",133708,"Carl Binder",1995
"5007",6.2e+07,"Paramount Pictures","UK","Marco Schnabel","Comedy",32235793,"The Love Guru","PG-13","2008-06-20",87,3.8,"Mike Myers",45014,"Mike Myers",2008
